timestamp,x,y,z
247308,1.72,1.5,9.75
247328,1.72,1.5,9.75
247348,1.72,1.5,9.75
247367,1.65,1.59,9.64
247387,1.65,1.59,9.64
247407,1.65,1.59,9.64
247428,1.53,1.54,9.41
247448,1.53,1.54,9.41
247467,1.53,1.54,9.41
247488,1.37,1.64,9.6
247508,1.37,1.64,9.6
247528,1.37,1.64,9.6
247548,1.29,1.81,9.45
247568,1.29,1.81,9.45
247588,1.29,1.81,9.45
247608,1.29,1.81,9.45
247628,1.19,1.83,9.53
247648,1.19,1.83,9.53
247668,1.19,1.83,9.53
247688,1.23,1.7,9.61
247709,1.23,1.7,9.61
247727,1.23,1.7,9.61
247747,1.76,1.68,9.78
247767,1.76,1.68,9.78
247787,1.76,1.68,9.78
247808,1.76,1.68,9.78
247828,1.72,1.7,9.86
247848,1.72,1.7,9.86
247868,1.72,1.7,9.86
247887,1.45,1.72,9.7
247907,1.45,1.72,9.7
247928,1.45,1.72,9.7
247947,1.2,1.82,9.72
247967,1.2,1.82,9.72
247987,1.2,1.82,9.72
248008,1.2,1.82,9.72
248027,1.3,1.91,9.49
248047,1.3,1.91,9.49
248067,1.3,1.91,9.49
248087,1.07,1.98,9.5
248107,1.07,1.98,9.5
248128,1.07,1.98,9.5
248148,1.32,2.05,9.7
248168,1.32,2.05,9.7
248188,1.32,2.05,9.7
248208,1.26,2.15,9.79
248228,1.26,2.15,9.79
248248,1.26,2.15,9.79
248268,1.26,2.15,9.79
248287,1.3,2.59,9.64
248307,1.3,2.59,9.64
248328,1.3,2.59,9.64
248347,1.35,2.88,9.64
248367,1.35,2.88,9.64
248387,1.35,2.88,9.64
248407,1.28,2.86,9.49
248427,1.28,2.86,9.49
248447,1.28,2.86,9.49
248468,1.28,2.86,9.49
248487,1.03,2.99,9.24
248507,1.03,2.99,9.24
248527,1.03,2.99,9.24
248547,1.14,2.97,9.37
248567,1.14,2.97,9.37
248588,1.14,2.97,9.37
248608,1.3,3.05,9.46
248628,1.3,3.05,9.46
248648,1.3,3.05,9.46
248668,1.3,3.05,9.46
248688,0.91,3.15,9.09
248707,0.91,3.15,9.09
248727,0.91,3.15,9.09
248747,0.97,3.04,9.05
248767,0.97,3.04,9.05
248787,0.97,3.04,9.05
248807,0.94,2.83,9.3
248827,0.94,2.83,9.3
248847,0.94,2.83,9.3
248867,0.69,2.75,10.27
248887,0.69,2.75,10.27
248907,0.69,2.75,10.27
248927,0.69,2.75,10.27
248947,0.83,2.86,10.12
248969,0.83,2.86,10.12
248987,0.83,2.86,10.12
249008,0.47,2.94,9.14
249028,0.47,2.94,9.14
249048,0.47,2.94,9.14
249068,0.37,2.14,9.78
249088,0.37,2.14,9.78
249107,0.37,2.14,9.78
249128,0.37,2.14,9.78
249148,0.27,2.12,9.92
249168,0.27,2.12,9.92
