timestamp,GYRO_X,GYRO_Y,GYRO_Z
1427962947489,0.0000000,0.0000000,0.0000000
1427962947888,0.0000000,0.0000000,0.0000000
1427962948290,0.0000000,0.0000000,0.0000000
1427962948691,0.0000000,0.0000000,0.0000000
1427962949088,0.0000000,0.0000000,0.0000000
1427962949490,0.0000000,0.0000000,0.0000000
1427962949894,0.0000000,0.0000000,0.0000000
1427962950290,0.0000000,0.0000000,0.0000000
1427962950689,0.0000000,0.0000000,0.0000000
1427962951088,0.0000000,0.0000000,0.0000000
1427962951490,0.0000000,0.0000000,0.0000000
1427962951891,0.0000000,0.0000000,0.0000000
1427962952290,0.0000000,0.0000000,0.0000000
1427962952693,0.0000000,0.0000000,0.0000000
1427962953089,0.0000000,0.0000000,0.0000000
1427962953489,0.0000000,0.0000000,0.0000000
1427962953890,0.0000000,0.0000000,0.0000000
1427962954289,0.0000000,0.0000000,0.0000000
1427962954690,0.0000000,0.0000000,0.0000000
1427962955090,0.0000000,0.0000000,0.0000000
1427962955491,0.0000000,0.0000000,0.0000000
1427962955890,0.0000000,0.0000000,0.0000000
1427962956289,0.0000000,0.0000000,0.0000000
1427962956691,0.0000000,0.0000000,0.0000000
1427962957089,0.0000000,0.0000000,0.0000000
1427962957490,0.0000000,0.0000000,0.0000000
1427962957890,0.0000000,0.0000000,0.0000000
1427962958290,0.0000000,0.0000000,0.0000000
1427962958690,0.0000000,0.0000000,0.0000000
1427962959089,0.0000000,0.0000000,0.0000000
1427962959490,0.0000000,0.0000000,0.0000000
1427962959893,0.0000000,0.0000000,0.0000000
1427962960290,0.0000000,0.0000000,0.0000000
1427962960690,0.0000000,0.0000000,0.0000000
1427962961089,0.0000000,0.0000000,0.0000000
1427962961489,0.0000000,0.0000000,0.0000000
1427962961890,0.0000000,0.0000000,0.0000000
1427962962291,0.0000000,0.0000000,0.0000000
1427962962691,0.0000000,0.0000000,0.0000000
1427962963089,0.0000000,0.0000000,0.0000000
1427962963489,0.0000000,0.0000000,0.0000000
1427962963901,0.0000000,0.0000000,0.0000000
1427962964290,0.0000000,0.0000000,0.0000000
1427962964689,0.0000000,0.0000000,0.0000000
1427962965089,0.0000000,0.0000000,0.0000000
1427962965489,0.0000000,0.0000000,0.0000000
1427962965889,0.0000000,0.0000000,0.0000000
1427962966289,0.0000000,0.0000000,0.0000000
1427962966688,0.0000000,0.0000000,0.0000000
1427962967109,0.0000000,0.0000000,0.0000000
1427962967489,0.0000000,0.0000000,0.0000000
1427962967889,0.0000000,0.0000000,0.0000000
1427962968289,0.0000000,0.0000000,0.0000000
1427962968690,0.0000000,0.0000000,0.0000000
1427962969089,0.0000000,0.0000000,0.0000000
1427962969489,0.0000000,0.0000000,0.0000000
1427962969890,0.0000000,0.0000000,0.0000000
1427962970291,0.0000000,0.0000000,0.0000000
1427962970689,0.0000000,0.0000000,0.0000000
1427962971089,0.0000000,0.0000000,0.0000000
1427962971499,0.0000000,0.0000000,0.0000000
1427962971889,0.0000000,0.0000000,0.0000000
1427962972290,0.0000000,0.0000000,0.0000000
1427962972689,0.0000000,0.0000000,0.0000000
1427962973089,0.0000000,0.0000000,0.0000000
1427962973490,0.0000000,0.0000000,0.0000000
1427962973889,0.0000000,0.0000000,0.0000000
1427962974290,0.0000000,0.0000000,0.0000000
1427962974692,0.0000000,0.0000000,0.0000000
1427962975089,0.0000000,0.0000000,0.0000000
1427962975490,0.0000000,0.0000000,0.0000000
1427962975889,0.0000000,0.0000000,0.0000000
1427962976290,0.0000000,0.0000000,0.0000000
1427962976689,0.0000000,0.0000000,0.0000000
1427962977089,0.0000000,0.0000000,0.0000000
1427962977498,0.0000000,0.0000000,0.0000000
1427962977892,0.0000000,0.0000000,0.0000000
1427962978292,0.0000000,0.0000000,0.0000000
1427962978689,0.0000000,0.0000000,0.0000000
1427962979090,0.0000000,0.0000000,0.0000000
1427962979489,0.0000000,0.0000000,0.0000000
1427962979890,0.0000000,0.0000000,0.0000000
